,accuracy,precision,recall,f1,roc_auc
baseline_logreg,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
lightgbm,0.7853589196872779,0.5829493087557603,0.6764705882352942,0.6262376237623762,0.8386248453442805
