,gain
Contract,15244.28136754036
MonthlyCharges,2470.713021993637
OnlineSecurity,2164.1146578788757
tenure,1918.8532829284668
TotalCharges,1783.892632484436
InternetService,1080.6778438091278
TechSupport,675.6698458194733
PaymentMethod,244.99152135849
MultipleLines,244.86053109169006
PaperlessBilling,206.8562891483307
StreamingTV,194.70505952835083
OnlineBackup,191.8084216117859
StreamingMovies,181.87829971313477
SeniorCitizen,101.02070951461792
gender,82.43376874923706
