,accuracy,precision,recall,f1,roc_auc
baseline_logreg,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
xgboost,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9943783068783069
