,importance
capital-gain,22.681264664237627
relationship,16.416386295440585
age,11.064990097377963
capital-loss,9.014904693986555
occupation,7.393635807637784
hours-per-week,6.902364129686877
marital-status,6.669438269082076
education-num,6.265181881382314
fnlwgt,3.6138483363127576
education,3.312543104695823
workclass,2.4541429224607096
race,1.5969388499463693
native-country,1.3612617308375485
sex,1.2530992169150064
