,accuracy,precision,recall,f1,roc_auc
baseline_decision_tree,0.8493090105030403,0.7627017334130305,0.5691347011596789,0.6518518518518519,
catboost,0.8690989496959646,0.7696228338430173,0.6735057983942908,0.7183634633682208,0.9273171514954508
