iter	Passed	Remaining
449	24492	2721
450	24539	2666
451	24585	2610
452	24648	2557
453	24715	2504
454	24765	2449
455	24833	2396
456	24886	2341
457	24962	2289
458	25032	2236
459	25081	2181
460	25142	2127
461	25188	2071
462	25244	2017
463	25320	1964
464	25398	1911
465	25439	1856
466	25497	1801
467	25571	1748
468	25663	1696
469	25730	1642
470	25787	1587
471	25850	1533
472	25915	1479
473	25992	1425
474	26065	1371
475	26146	1318
476	26235	1265
477	26320	1211
478	26401	1157
479	26486	1103
480	26565	1049
481	26644	995
482	26727	940
483	26791	885
484	26868	830
485	26938	776
486	27026	721
487	27093	666
488	27179	611
489	27253	556
490	27313	500
491	27404	445
492	27452	389
493	27513	334
494	27572	278
495	27625	222
496	27683	167
497	27736	111
498	27793	55
499	27851	0
